City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
38,Dali,CN,25.7,100.1833,59.81,96,46,4.47,scattered clouds
39,Segou,ML,13.4317,-6.2157,91.99,28,71,3.78,broken clouds
40,Lagoa,PT,39.05,-27.9833,70.77,92,41,12.26,scattered clouds
41,Hobart,AU,-42.8794,147.3294,54.1,92,90,0.0,overcast clouds
42,Komsomolskiy,UZ,40.4272,71.7189,57.92,77,75,9.22,broken clouds
43,Mataura,NZ,-46.1927,168.8643,44.47,90,100,7.27,light rain
44,Vila Velha,BR,-20.3297,-40.2925,81.39,66,5,21.43,clear sky
45,Busselton,AU,-33.65,115.3333,42.08,67,87,3.58,overcast clouds
46,Flic En Flac,MU,-20.2742,57.3631,72.52,79,14,14.54,few clouds
47,Ushuaia,AR,-54.8,-68.3,47.86,61,75,23.02,moderate rain
48,Merauke,ID,-8.4667,140.3333,76.42,82,93,3.6,overcast clouds
49,Bushehr,IR,28.9684,50.8385,87.98,66,8,9.75,clear sky
50,Port Hawkesbury,CA,45.6169,-61.3485,61.79,70,44,5.99,scattered clouds
51,Bengkulu,ID,-3.8004,102.2655,75.13,91,100,3.65,overcast clouds
52,Yar-Sale,RU,66.8333,70.8333,30.29,76,100,6.6,overcast clouds
53,Rocha,UY,-34.4833,-54.3333,56.7,54,16,14.76,few clouds
54,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,35.68,light intensity shower rain
55,Mildura,AU,-34.2,142.15,50.07,80,0,11.72,clear sky
56,Slave Lake,CA,55.2834,-114.769,48.18,53,90,12.66,overcast clouds
57,Ambunti,PG,-4.2365,142.8448,73.45,99,98,1.01,overcast clouds
58,Port Elizabeth,ZA,-33.918,25.5701,57.09,76,20,6.91,few clouds
59,Souillac,MU,-20.5167,57.5167,72.36,88,75,13.8,broken clouds
60,Isangel,VU,-19.55,169.2667,75.31,88,5,3.44,clear sky
61,Turbat,PK,26.0023,63.044,84.79,64,15,6.85,few clouds
62,Mitsamiouli,KM,-11.3847,43.2844,75.63,82,9,8.97,clear sky
63,Mabaruma,GY,8.2,-59.7833,80.35,88,67,5.5,broken clouds
64,Harper,LR,4.375,-7.7169,78.42,88,100,7.23,light rain
65,Pachino,IT,36.7186,15.0907,69.84,67,2,5.03,clear sky
66,Ardakan,IR,32.31,54.0175,75.58,26,0,6.58,clear sky
67,Kangaatsiaq,GL,68.3065,-53.4641,32.49,66,99,8.1,overcast clouds
68,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,86.14,51,98,14.72,overcast clouds
69,Port Alfred,ZA,-33.5906,26.891,56.8,73,48,7.9,light rain
70,Zavodouspenskoye,RU,56.8626,65.0155,32.22,87,99,7.23,overcast clouds
71,Sakakah,SA,29.9697,40.2064,82.4,26,0,12.19,clear sky
72,Micheweni,TZ,-4.9667,39.8333,75.88,77,73,9.4,broken clouds
73,Boa Vista,BR,2.8197,-60.6733,94.98,41,40,6.91,scattered clouds
74,Narsaq,GL,60.9167,-46.05,42.87,57,0,6.17,clear sky
75,Ngunguru,NZ,-35.6167,174.5,62.17,98,100,12.91,overcast clouds
76,Longyearbyen,SJ,78.2186,15.6401,37.31,98,100,4.25,overcast clouds
77,Maues,BR,-3.3836,-57.7186,92.57,45,100,2.95,overcast clouds
78,Kaitangata,NZ,-46.2817,169.8464,49.93,82,100,13.67,overcast clouds
79,Quesnel,CA,52.9999,-122.5029,46.9,76,1,0.0,haze
80,Codrington,AU,-38.2667,141.9667,49.8,91,45,15.52,light rain
81,Mogadishu,SO,2.0371,45.3438,78.46,86,6,16.78,clear sky
82,Vardo,NO,70.3705,31.1107,49.98,76,0,19.57,clear sky
83,Safford,US,32.834,-109.7076,83.32,28,1,4.61,clear sky
84,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,77,3,21.09,clear sky
85,Juneau,US,58.3019,-134.4197,41.22,98,100,5.12,moderate rain
86,Torbay,CA,47.6666,-52.7314,60.28,81,75,2.3,broken clouds
87,Bathsheba,BB,13.2167,-59.5167,90.21,58,20,23.02,few clouds
88,Jinka,ET,5.65,36.65,66.2,78,83,2.68,light rain
89,Grootfontein,NA,-19.5667,18.1167,72.72,12,2,8.72,clear sky
90,Mackay,AU,-21.15,149.2,70.05,95,15,9.19,few clouds
91,Umm Kaddadah,SD,13.6017,26.6876,91.26,19,100,10.45,overcast clouds
92,Port Hardy,CA,50.6996,-127.4199,51.98,71,40,6.91,light rain
93,Dingle,PH,10.9995,122.6711,75.24,94,100,6.38,moderate rain
94,Road Town,VG,18.4167,-64.6167,86.2,72,12,15.99,few clouds
95,Balkhash,KZ,46.844,74.9804,46.33,42,100,3.69,overcast clouds
96,High Level,CA,58.5169,-117.136,49.28,45,98,10.54,overcast clouds
97,Yandyki,RU,45.7691,47.1258,52.52,53,100,14.76,overcast clouds
98,Tasiilaq,GL,65.6145,-37.6368,27.88,55,0,5.86,clear sky
99,Carnarvon,AU,-24.8667,113.6333,62.67,77,0,16.11,clear sky
100,Sibu,MY,2.3,111.8167,74.03,97,100,1.97,overcast clouds
101,Raga,SS,8.4596,25.678,73.09,83,89,2.95,overcast clouds
102,Viedma,AR,-40.8135,-62.9967,60.91,28,3,16.28,clear sky
103,Basco,PH,20.4487,121.9702,84.04,75,96,22.7,overcast clouds
104,Pocatky,CZ,49.2602,15.2402,57.24,87,18,3.0,few clouds
105,Katsuura,JP,35.1333,140.3,71.11,79,0,8.52,clear sky
106,Mar Del Plata,AR,-38.0023,-57.5575,55.42,49,0,20.0,clear sky
107,Yulara,AU,-25.2406,130.9889,55.24,38,0,6.91,clear sky
108,Batagay-Alyta,RU,67.8006,130.4114,16.47,89,34,2.37,scattered clouds
109,Ancud,CL,-41.8697,-73.8203,51.33,66,99,11.41,overcast clouds
110,Pala,TD,9.3642,14.9046,79.2,66,6,3.85,clear sky
111,Wentzville,US,38.8114,-90.8529,75.58,79,64,1.99,broken clouds
112,Chokurdakh,RU,70.6333,147.9167,19.99,96,96,8.68,overcast clouds
113,Talnakh,RU,69.4865,88.3972,17.92,96,99,1.34,overcast clouds
114,Cidreira,BR,-30.1811,-50.2056,67.95,84,100,8.37,overcast clouds
115,Aviles,ES,43.5547,-5.9248,60.93,69,40,4.0,scattered clouds
116,Tukrah,LY,32.5341,20.5791,71.37,66,0,13.49,clear sky
117,Jinchang,CN,38.4953,102.1739,47.93,54,71,5.21,broken clouds
118,Benito Juarez,MX,19.385,-99.165,71.42,55,75,1.99,broken clouds
119,Korla,CN,41.7597,86.1469,50.27,43,0,3.87,clear sky
